day,hour,listeners,pageviews,host,showName,slug,archive_slug,description
1,17,17,150,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,18,17,39,,Gold Soundz,GS,GS,Playing the best in Indie Rock and Hipster Pop since 2006.
1,19,18,79,,Underground Recordings,UGR,UGR,Historic WREK programming pulled from our basement archives. Features classic Live at WREK performances from the 1980s and unlabeled tape reels dating back to the late 1960s.
1,20,20,38,,New Forces,NF,NF,Punk rock and hardcore: We air econo.
1,21,23,54,,The Longboards Show,TLBS,TLBS,"Covering the spectrum from surf music to rockabilly, The Longboards Show features artists from Dick Dale to Los Straitjackets, Carl Perkins to Johnny Knox, and Ernest Tubb to The Sadies."
1,22,29,51,,Live at WREK,LAW,LAW,"Every Tuesday, we herd a bunch of degenerates that like to play instruments simultaneously near each other and have the cajones to call themselves a band into the studio and let them do their thing. Sometimes the results are so good that it makes cleaning up afterwards worth it."
1,23,27,18,,Radiobomb,RB,RB,"Every Tuesday night from 11pm to midnight, we air The New Forces Radio Hour!! We play Punk, Garage, Girl Group, Powerpop, and Psychedelic favorites. From no names to big names you can find it all here."
2,0,26,24,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,1,27,13,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,2,24,4,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,3,26,8,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,4,25,7,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,5,23,5,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,6,21,12,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,7,21,11,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,8,19,22,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,9,17,51,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,10,17,23,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,11,18,26,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,12,19,47,,Inside the Black Box,BLBX,BLBX,"Inside the Black Box, or as we like to call it ""Science, only funnier,"" is a weekly show that attempts to demystify science and technology for people without an advanced degree in science or engineering (in other words – normal people). Your hosts Pete Ludovice and Bill Hunt of the Georgia Tech Engineering Faculty also do stand-up comedy at night."
2,13,14,34,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,14,16,65,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,15,17,30,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,16,14,30,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,17,15,34,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,18,14,75,,Ramblin' WREK Report,RWR,RWR,"An all Georgia Tech sports talk show featuring debate on the latest games and previews of upcoming ones. We also feature special guests from analysts around the country to players and coaches themselves. You don't want to miss a minute of the fun, every Wednesday 6-7 PM."
2,19,14,29,,The Mobius,MOB,MOB,"Experimental, Ambient, Electronic, and Bitrock."
2,20,15,72,,The Mobius,MOB,MOB,"Experimental, Ambient, Electronic, and Bitrock."
2,21,18,27,,Destroy All Music,DAM,DAM,"Noise, Jazz, Avant-Garde, and Improv"
2,22,23,49,,Friction,FR,FR,"Noise, Avant-Garde, and Improv"
2,23,23,61,,Psych-Out!,PO,PO,"Psych-Out is a 60-minute technicolour dream through the world of psychedelia past and present. Devoted to freakouts, psych-pop, acid folk, drone, krautrock, spacerock, etc, your host Curtis is trying to make it as broad, and consequently as deep, as possible. Acid Mothers Temple, Flying Saucer Attack, Nurse With Wound, Incredible String Band, 13th Floor Elevators, Gorky's Zygotic Mynci, Taj Mahal Travelers, and maybe even some groups without 3 words in their title. It's a freak scene!"
3,0,26,8,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,1,26,15,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,2,23,1,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,3,21,10,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,4,20,6,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,5,18,9,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,6,17,9,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
3,7,17,24,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
